CASP,Stage,Target,Model,GDT_TS,MQAScore
casp12,stage_1,T0901,T0901TS464_5,8.11,0.058013767
casp12,stage_1,T0901,T0901TS455_2,8.79,0.035920972
casp12,stage_1,T0901,T0901TS434_1,10.75,0.077319867
casp12,stage_1,T0901,T0901TS464_2,7.59,0.112455638
casp12,stage_1,T0901,T0901TS180_2,14.42,0.09682168
casp12,stage_1,T0901,T0901TS434_2,10.07,0.056729791
casp12,stage_1,T0901,T0901TS467_1,11.01,0.287005963
casp12,stage_1,T0901,T0901TS321_4,9.56,0.049792648
casp12,stage_1,T0901,T0901TS455_1,6.49,0.083072962
casp12,stage_1,T0901,T0901TS434_5,9.39,0.054517205
casp12,stage_1,T0901,T0901TS455_3,9.21,0.093341035
casp12,stage_1,T0901,T0901TS180_5,11.86,0.042044476
casp12,stage_1,T0901,T0901TS467_3,9.73,0.264737033
casp12,stage_1,T0901,T0901TS455_5,7.25,0.070130026
casp12,stage_1,T0901,T0901TS455_4,11.01,0.103551605
casp12,stage_1,T0901,T0901TS321_1,10.84,0.080655434
casp12,stage_1,T0901,T0901TS467_2,7.17,0.35938733
casp12,stage_1,T0901,T0901TS287_3,33.02,0.374694225
casp12,stage_1,T0901,T0901TS434_4,8.96,0.043034346
casp12,stage_1,T0901,T0901TS434_3,11.78,0.037366778
casp12,stage_1,T0906,T0906TS451_1,15.15,0.067521755
casp12,stage_1,T0906,T0906TS432_4,9.43,0.094262729
casp12,stage_1,T0906,T0906TS452_3,8.73,0.11507336
casp12,stage_1,T0906,T0906TS434_4,8.59,0.045733287
casp12,stage_1,T0906,T0906TS432_3,10.89,0.059328278
casp12,stage_1,T0906,T0906TS434_5,15.43,0.038401044
casp12,stage_1,T0906,T0906TS464_2,6.56,0.072061153
casp12,stage_1,T0906,T0906TS180_5,11.73,0.081080601
casp12,stage_1,T0906,T0906TS464_5,8.17,0.043841218
casp12,stage_1,T0906,T0906TS432_2,10.34,0.078586988
casp12,stage_1,T0906,T0906TS321_5,9.43,0.059267775
casp12,stage_1,T0906,T0906TS434_2,9.71,0.061933013
casp12,stage_1,T0906,T0906TS180_4,9.15,0.16239948
casp12,stage_1,T0906,T0906TS434_1,8.8,0.05745713
casp12,stage_1,T0906,T0906TS432_5,12.92,0.06592904
casp12,stage_1,T0906,T0906TS452_4,7.82,0.122587147
casp12,stage_1,T0906,T0906TS467_5,7.4,0.208381213
casp12,stage_1,T0906,T0906TS467_4,9.5,0.221769109
casp12,stage_1,T0906,T0906TS119_1,90.78,0.880556951
casp12,stage_1,T0906,T0906TS434_3,10.27,0.043104133
casp12,stage_1,T0946,T0946TS464_2,8.39,0.112998731
casp12,stage_1,T0946,T0946TS446_3,10.19,0.191011209
casp12,stage_1,T0946,T0946TS446_4,10.19,0.186323867
casp12,stage_1,T0946,T0946TS321_2,10.53,0.076103369
casp12,stage_1,T0946,T0946TS434_3,11.9,0.090228766
